Index,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
30,Newpaintinginprogress!,Positive,1/24/2023 15:00,ArtistInAction,Facebook, #Art #PaintingInProgress,12,25,Canada,2023,1,24,15
31,Weekendroadtriptoexplorescenicviews.,Positive,1/24/2023 17:30,RoadTripper,Instagram, #RoadTrip #ScenicViews,18,35,UK,2023,1,24,17
32,Enjoyingacupofteaandwatchingthesunset.,Positive,1/25/2023 18:00,SunsetWatcher,Twitter, #TeaTime #Sunset,15,30,India,2023,1,25,18
33,Codinganewprojectwithenthusiasm.,Positive,1/25/2023 13:15,CodeEnthusiast,Facebook, #Coding #Enthusiasm,30,60,USA,2023,1,25,13
34,Feelinginspiredafterattendingaworkshop.,Positive,1/26/2023 9:45,WorkshopAttendee,Instagram, #Inspiration #Workshop,25,50,USA,2023,1,26,9
35,Wintersportsdayatthelocalpark.,Positive,1/26/2023 14:20,WinterSports,Twitter, #WinterSports #Fun,15,30,Canada,2023,1,26,14
36,Qualitytimewithfamilythisweekend.,Positive,1/26/2023 17:40,FamilyTime,Facebook, #FamilyTime #Weekend,22,45,UK,2023,1,26,17
37,Attendingalivemusicconcerttonight.,Positive,1/27/2023 20:00,MusicLover,Instagram, #Music #ConcertNight,18,35,USA,2023,1,27,20
38,Practicingmindfulnesswithmeditation.,Positive,1/27/2023 12:30,MindfulMoments,Twitter, #Mindfulness #Meditation,15,30,India,2023,1,27,12
39,Tryingoutanewdessertrecipe.,Positive,1/27/2023 16:10,DessertExplorer,Facebook, #Dessert #Cooking,12,25,Canada,2023,1,27,16
40,Excitedabouttheupcominggamingtournament.,Positive,1/28/2023 9:00,GamingEnthusiast,Instagram, #Gaming #Tournament,30,60,USA,2023,1,28,9
41,Planningagardenmakeoverforspring.,Positive,1/28/2023 14:45,GardenPlanner,Twitter, #Gardening #Spring,25,50,USA,2023,1,28,14
42,Celebratingafriend'sbirthdaytonight!,Positive,1/28/2023 19:30,BirthdayBash,Facebook, #Birthday #Celebration,15,30,UK,2023,1,28,19
43,Feelingaccomplishedafteraproductiveday.,Positive,1/29/2023 17:00,ProductivityWin,Instagram, #Accomplished #Success,22,45,India,2023,1,29,17
44,Acozyeveningwithagoodmovie.,Positive,1/29/2023 20:20,MovieNight,Twitter, #CozyNight #MovieTime,18,35,Canada,2023,1,29,20
45,Exploringlocalartgalleriesthisweekend.,Positive,1/30/2023 11:30,ArtExplorer,Facebook, #Art #GalleryExplore,15,30,USA,2023,1,30,11
46,Newbookreleasefrommyfavoriteauthor!,Positive,1/30/2023 15:45,BookwormX,Instagram, #BookRelease #FavoriteAuthor,12,25,UK,2023,1,30,15
47,Attendingavirtualrealitymeetup.,Positive,1/30/2023 18:30,VRMeetup,Twitter, #VRMeetup #VirtualReality,28,55,India,2023,1,30,18
48,Reflectingonthebeautyofnature.,Positive,1/31/2023 10:45,NatureLover,Facebook, #Nature #Reflection,15,30,Australia,2023,1,31,10
49,Cookingaspecialdinnerforlovedones.,Positive,1/31/2023 19:00,ChefAtHome,Instagram, #Cooking #SpecialDinner,20,40,USA,2023,1,31,19
50,Feelingoptimisticabouttheweekahead.,Positive,1/31/2023 16:20,OptimisticMindset,Twitter, #Optimism #NewWeek,15,30,Canada,2023,1,31,16
51,Startinganewfitnesschallengetomorrow!,Positive,2/1/2023 8:00,FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings,22,45,UK,2023,2,1,8
52,Sundaybikeridethroughscenictrails.,Positive,2/1/2023 13:30,BikeExplorer,Instagram, #BikeRide #ScenicTrails,18,35,USA,2023,2,1,13
53,Can'tbelievetheinjusticehappeninginoursociety.,Anger,2/11/2023 9:30,SocialJustice,Twitter, #Injustice #Angry,20,40,Canada,2023,2,11,9
54,Feelingasenseoffearafterwatchingathrillermovie.,Fear,2/11/2023 21:15,ThrillerFan,Instagram, #Fear #ThrillerMovie,15,30,USA,2023,2,11,21
55,Heartbrokenafterhearingthenewsaboutanaturaldisaster.,Sadness,2/12/2023 14:45,EmpathyFirst,Facebook, #Sadness #NaturalDisaster,25,50,India,2023,2,12,14
56,Thestateoftheworld'senvironmentisjustdisgusting.,Disgust,2/12/2023 18:20,EcoAwareness,Twitter, #Disgust #Environment,18,35,UK,2023,2,12,18
57,Purehappiness:celebratingalovedone'sachievement!,Happiness,2/13/2023 10:00,ProudFriend,Instagram, #Happiness #Celebration,30,60,USA,2023,2,13,10
58,Laughteristhebestmedicineenjoyingacomedyshow.,Joy,2/13/2023 19:30,ComedyFan,Facebook, #Joy #ComedyShow,22,45,Canada,2023,2,13,19
59,Anamusingincidentbrightenedupmyday!,Amusement,2/14/2023 14:20,AmusedSoul,Instagram, #Amusement #FunTimes,18,35,UK,2023,2,14,14
60,Enjoyingaquieteveningwithabookandsometea.,Enjoyment,2/14/2023 19:45,BookLoverAgain,Facebook, #Enjoyment #BookTime,25,50,Canada,2023,2,14,19
61,Admiringthebeautyofnatureduringapeacefulhike.,Admiration,2/15/2023 11:30,NatureAdmirer,Twitter, #Admiration #Nature,20,40,USA,2023,2,15,11
62,Sendingaffectionatevibestoallmyfollowers!,Affection,2/15/2023 16:00,AffectionSender,Instagram, #Affection #PositiveVibes,15,30,USA,2023,2,15,16
63,Experiencingaweatthebreathtakingsunset.,Awe,2/15/2023 20:30,AweStruck,Facebook, #Awe #Breathtaking,22,45,Australia,2023,2,15,20
64,Disappointedwiththeserviceatalocalrestaurant.,Disappointed,2/16/2023 9:00,FoodieGoneWrong,Twitter, #Disappointed #BadService,18,35,India,2023,2,16,9
65,Asurprisegiftfromafriendmademyday!,Surprise,2/16/2023 14:45,HappySurprise,Instagram, #Surprise #Gift,25,50,USA,2023,2,16,14
66,Findingacceptanceinthemidstoflife'schallenges.,Acceptance,2/16/2023 18:20,AcceptanceSeeker,Facebook, #Acceptance #Challenges,15,30,Canada,2023,2,16,18
67,Overflowingwithadorationformyadorablepet!,Adoration,2/17/2023 10:45,PetAdorer,Twitter, #Adoration #PetLove,22,45,UK,2023,2,17,10
68,Anticipatingathrillingadventureinthecomingweeks.,Anticipation,2/17/2023 7:30,AdventureAwaits,Instagram, #Anticipation #Adventure,20,40,USA,2023,2,17,7
69,Abitterexperienceturnedintoavaluablelesson.,Bitter,2/17/2023 15:00,LearnFromBitter,Facebook, #BitterLesson #Growth,18,35,USA,2023,2,17,15
70,Findingcalmnessinthemidstofabusyday.,Calmness,2/18/2023 9:30,ZenMaster,Twitter, #Calmness #PeacefulMind,15,30,India,2023,2,18,9
71,ConfusioncloudsmymindasInavigatethroughdecisions.,Confusion,2/18/2023 14:20,ConfusedMind,Instagram, #Confusion #DecisionMaking,25,50,UK,2023,2,18,14
72,Excitementbuildingupfortheupcomingvacation!,Excitement,2/18/2023 18:45,VacationDreamer,Facebook, #Excitement #TravelPlans,22,45,Canada,2023,2,18,18
73,Kindnesswitnessedtodayrestoredmyfaithinhumanity.,Kind,2/19/2023 11:30,KindnessPrevails,Twitter, #Kindness #Humanity,20,40,USA,2023,2,19,11
74,Prideinachievingapersonalmilestone.,Pride,2/19/2023 16:00,PersonalAchiever,Instagram, #Pride #Milestone,30,60,Australia,2023,2,19,16
75,Amomentofshamefornotstandingupagainstinjustice.,Shame,2/19/2023 19:45,ReflectiveSelf,Facebook, #Shame #Injustice,15,30,India,2023,2,19,19
76,Fumingwithangerafteraheatedargument.,Anger,2/20/2023 9:30,AngryDebater,Twitter, #Anger #Argument,20,40,Canada,2023,2,20,9
77,Thefearoftheunknowniskeepingmeupatnight.,Fear,2/20/2023 21:15,FearfulDreamer,Instagram, #Fear #Unknown,15,30,USA,2023,2,20,21
78,Heartfeltsadnessafterbiddingfarewelltoadearfriend.,Sadness,2/21/2023 14:45,FarewellHeart,Facebook, #Sadness #Farewell,25,50,India,2023,2,21,14
79,Thestateofcorruptioninoursocietyisutterlydisgusting.,Disgust,2/21/2023 18:20,AntiCorruption,Twitter, #Disgust #Corruption,18,35,UK,2023,2,21,18
80,Overflowinghappiness:welcominganewfamilymember!,Happiness,2/22/2023 10:00,NewParentJoy,Instagram, #Happiness #NewFamilyMember,30,60,UK,2023,2,22,10
81,Laughteristhekeytojoyattendingastand-upcomedyshow.,Joy,2/22/2023 19:30,StandUpFan,Facebook, #Joy #StandUpComedy,22,45,Canada,2023,2,22,19
82,Amusedbytheanticsofmypetit'spureamusement!,Amusement,2/23/2023 14:20,PetAmuser,Instagram, #Amusement #PetAntics,18,35,UK,2023,2,23,14
83,Enjoyingeverymomentofthistrippureenjoyment!,Enjoyment,2/23/2023 19:45,TravelExplorer,Facebook, #Enjoyment #Travel,25,50,USA,2023,2,23,19
84,Admiringthededicationofvolunteersatalocalcharity.,Admiration,2/24/2023 11:30,CharityAdmirer,Twitter, #Admiration #Volunteers,20,40,USA,2023,2,24,11
85,Sendingaffectionatevibestofriendsandfamily.,Affection,2/24/2023 16:00,FamilyLover,Instagram, #Affection #FamilyLove,15,30,USA,2023,2,24,16
86,Awe-struckbythebeautyofthenightsky.,Awe,2/24/2023 20:30,Stargazer,Facebook, #Awe #StarryNight,22,45,Australia,2023,2,24,20
87,Disappointedwiththelackofprogressinapersonalproject.,Disappointed,2/25/2023 9:00,ProjectStruggle,Twitter, #Disappointed #Project,18,35,India,2023,2,25,9
88,Asurprisevisitfromanoldfriendbroughttearsofjoy.,Surprise,2/25/2023 14:45,JoyfulReunion,Instagram, #Surprise #OldFriends,25,50,USA,2023,2,25,14
89,Embracingacceptanceoflife'supsanddowns.,Acceptance,2/25/2023 18:20,LifeAcceptance,Facebook, #Acceptance #LifeJourney,15,30,Canada,2023,2,25,18
90,Overflowingadorationforacuterescuepuppy!,Adoration,2/26/2023 10:45,PuppyAdmirer,Twitter, #Adoration #PuppyLove,22,45,UK,2023,2,26,10
91,Anticipatingthereleaseofamuch-awaitedmovie.,Anticipation,2/26/2023 7:30,MovieBuff2,Instagram, #Anticipation #MovieRelease,20,40,Australia,2023,2,26,7
92,Bitterexperienceatthecustomerservicedepartment.,Bitter,2/26/2023 15:00,CustomerWoes,Facebook, #BitterExperience #CustomerService,18,35,USA,2023,2,26,15
93,Findingcalmnessamidstthechaosofdailylife.,Calmness,2/27/2023 9:30,CalmSoul,Twitter, #Calmness #InnerPeace,15,30,India,2023,2,27,9
94,ConfusionreignsasItrytomakesenseofrecentevents.,Confusion,2/27/2023 14:20,ConfusedMind2,Instagram, #Confusion #MakingSense,25,50,UK,2023,2,27,14
95,Excitementbuildingupforasurprisebirthdayparty.,Excitement,2/27/2023 18:45,BirthdayExcite,Facebook, #Excitement #SurpriseParty,22,45,Canada,2023,2,27,18
96,Witnessedanactofkindnessthatmademyday.,Kind,2/28/2023 11:30,KindnessObserver,Twitter, #Kindness #ActsOfKindness,20,40,USA,2023,2,28,11
97,Prideincompletingachallengingfitnesschallenge.,Pride,2/28/2023 16:00,FitAchiever,Instagram, #Pride #FitnessChallengeCompleted,30,60,UK,2023,2,28,16
98,Amomentofshamefornotspeakingupagainstinjustice.,Shame,2/28/2023 19:45,ReflectiveSelf2,Facebook, #Shame #Injustice,15,30,India,2023,2,28,19
99,Reflectingonthebeautyofdiversityinourworld.,Acceptance,3/1/2023 10:45,DiversityLover,Twitter, #Acceptance #Diversity,22,45,Australia,2023,3,1,10
100,Excitementforaquieteveningwithagoodbook.,Excitement,3/1/2023 13:30,BookwormJoy,Instagram, #Excitement #BookTime,18,35,USA,2023,3,1,13
101,Feelingbitterabouttheunfairnessintheworkplace.,Bitter,3/1/2023 17:45,WorkplaceWoes,Twitter, #Bitter #Unfairness,15,30,Canada,2023,3,1,17
102,CalmnessprevailsasIpracticemindfulness.,Calmness,3/2/2023 18:00,MindfulMe,Facebook, #Calmness #Mindfulness,15,30,UK,2023,3,2,18
103,ConfusionsurroundsmeasInavigatethroughlife'schoices.,Confusion,3/2/2023 13:15,ConfusedMind3,Instagram, #Confusion #LifeChoices,30,60,USA,2023,3,2,13
104,Excitementforaweekendroadtriptoexplorenewplaces.,Excitement,3/2/2023 16:45,RoadTripper2,Twitter, #Excitement #WeekendAdventure,25,50,India,2023,3,2,16
105,Kindnesswitnessedtodayrestoresmyfaithinhumanity.,Kind,3/3/2023 11:30,KindnessPrevails2,Facebook, #Kindness #HumanityRestored,22,45,USA,2023,3,3,11
106,Prideinaccomplishingpersonalandprofessionalgoals.,Pride,3/3/2023 14:30,GoalAchiever,Instagram, #Pride #Accomplishments,12,25,Canada,2023,3,3,14
107,Shamefornotbeingtruetomyvaluesinadifficultsituation.,Shame,3/3/2023 12:00,ReflectiveSelf3,Twitter, #Shame #Integrity,15,30,UK,2023,3,3,12
108,"Revisitingoldmemories,feelingasenseofelation.",Elation,5/15/2010 15:30,NostalgiaFan,Twitter, #Elation #Memories,20,40,Canada,2010,5,15,15
109,Thevictoryofourteambroughteuphoriatothecity.,Euphoria,8/10/2021 21:15,SportsFanatic,Instagram, #Euphoria #Victory,15,30,USA,2021,8,10,21
110,"Embracingthebeautyofnature,amomentofcontentment.",Contentment,6/20/2011 14:45,NatureLover2,Facebook, #Contentment #Nature,25,50,India,2011,6,20,14
111,"Meditatingbytheserenelake,findinginnerpeace.",Serenity,2/12/2022 18:20,ZenMaster2,Twitter, #Serenity #Meditation,18,35,UK,2022,2,12,18
112,Overflowingwithgratitudeforlife'sblessings.,Gratitude,11/25/2012 10:00,ThankfulHeart,Instagram, #Gratitude #Blessed,30,60,Australia,2012,11,25,10
113,"Hopefulforabrightertomorrow,despitechallenges.",Hope,4/5/2013 19:30,OptimisticSoul,Facebook, #Hope #Optimism,22,45,USA,2013,4,5,19
114,Empoweredtomakeadifferenceinmycommunity.,Empowerment,9/14/2014 8:30,CommunityLeader,Twitter, #Empowerment #Community,15,30,UK,2014,9,14,8
115,Compassioninaction:supportingalocalcharityevent.,Compassion,7/18/2015 14:20,CharitySupporter,Instagram, #Compassion #CharityEvent,18,35,Canada,2015,7,18,14
116,"Amomentoftenderness,connectingwithlovedones.",Tenderness,2/23/2016 19:45,LovingHeart,Facebook, #Tenderness #FamilyTime,25,50,UK,2016,2,23,19
117,ArousalofexcitementasIawaitaspecialannouncement.,Arousal,10/30/2017 11:30,ExcitementFan,Twitter, #Arousal #Excitement,20,40,Australia,2017,10,30,11
118,Enthusiasticallydivingintoanewproject.,Enthusiasm,6/15/2018 16:00,ProjectEnthusiast,Instagram, #Enthusiasm #NewProject,15,30,USA,2018,6,15,16
119,Feelingasenseoffulfillmentafterreachingamilestone.,Fulfillment,3/28/2019 18:20,MilestoneAchiever,Facebook, #Fulfillment #Milestone,22,45,India,2019,3,28,18
120,Reverenceforthebeautyofahistoriclandmark.,Reverence,11/11/2019 15:00,HistoryLover,Twitter, #Reverence #History,18,35,UK,2019,11,11,15
121,Elationafterasurprisereunionwitholdfriends.,Elation,4/2/2020 9:30,JoyfulReunion2,Instagram, #Elation #OldFriends,25,50,Canada,2020,4,2,9
122,Theeuphoriaofalivemusicconcertunderthestars.,Euphoria,6/19/2021 14:45,MusicEnthusiast,Facebook, #Euphoria #LiveMusic,15,30,USA,2021,6,19,14
123,ContentmentinthesimplicityofaquietSunday.,Contentment,8/15/2010 10:00,SimpleJoys,Twitter, #Contentment #SundayMood,30,60,Australia,2010,8,15,10
124,Serenityfoundinthepagesofafavoritebook.,Serenity,9/22/2011 19:30,BookLover3,Instagram, #Serenity #BookTime,22,45,UK,2011,9,22,19
125,Gratitudeforthesupportreceivedduringtoughtimes.,Gratitude,3/10/2012 8:30,SupportiveFriend,Facebook, #Gratitude #Supportive,15,30,India,2012,3,10,8
126,Hopefulaboutthepossibilitiesofanewjourney.,Hope,12/5/2013 16:00,JourneyOptimist,Twitter, #Hope #NewBeginnings,18,35,Canada,2013,12,5,16
127,Empowermentthroughlearningandpersonalgrowth.,Empowerment,7/20/2014 11:30,GrowthSeeker,Instagram, #Empowerment #PersonalGrowth,25,50,USA,2014,7,20,11
128,Compassiontowardsthoseinneedduringtheholidays.,Compassion,12/22/2015 14:20,HolidayHelper,Facebook, #Compassion #HolidaySupport,18,35,USA,2015,12,22,14
129,Tendernessinthewarmthofacozywinterevening.,Tenderness,2/10/2016 19:45,WinterWarmth,Twitter, #Tenderness #CozyEvening,25,50,UK,2016,2,10,19
130,Arousalofexcitementforanupcomingadventure.,Arousal,4/30/2017 11:30,AdventureAwaits,Instagram, #Arousal #AdventureTime,20,40,Australia,2017,4,30,11
131,Enthusiasmforacreativeprojectinthemaking.,Enthusiasm,9/15/2018 16:00,CreativeSpirit,Facebook, #Enthusiasm #Creativity,15,30,Canada,2018,9,15,16
132,Fulfillmentincompletingachallengingworkoutroutine.,Fulfillment,6/28/2019 18:20,FitnessAchiever,Twitter, #Fulfillment #FitnessGoals,22,45,India,2019,6,28,18
133,Reverencefortheartistrydisplayedinamuseum.,Reverence,11/11/2020 15:00,ArtAppreciator,Instagram, #Reverence #ArtAppreciation,18,35,UK,2020,11,11,15
134,Elationafterachievingapersonalgoal.,Elation,3/2/2021 9:30,GoalAchiever2,Facebook, #Elation #PersonalAchievement,25,50,USA,2021,3,2,9
135,Elationoverdiscoveringahiddengeminthecity.,Elation,2/18/2012 14:30,UrbanExplorer2,Twitter, #Elation #HiddenGem,20,40,USA,2012,2,18,14
136,Theeuphoriaofasurprisebirthdaycelebration.,Euphoria,11/5/2018 21:45,BirthdayJoy,Instagram, #Euphoria #BirthdaySurprise,15,30,UK,2018,11,5,21
137,Contentmentinthesimplicityofahome-cookedmeal.,Contentment,9/12/2015 13:20,HomeChef,Facebook, #Contentment #HomeCooking,25,50,India,2015,9,12,13
138,Serenityfoundinthemelodyofapeacefulpiano.,Serenity,7/30/2016 18:10,MusicLover4,Twitter, #Serenity #PeacefulMelody,18,35,Canada,2016,7,30,18
139,Gratitudeforthesupportivecommunityaroundme.,Gratitude,4/20/2013 10:30,CommunityLove,Instagram, #Gratitude #CommunitySupport,30,60,USA,2013,4,20,10
140,Hopefulabouttheprospectsofanewbusinessventure.,Hope,12/8/2017 19:15,EntrepreneurHope,Facebook, #Hope #BusinessVenture,22,45,Canada,2017,12,8,19
141,Empowermentthroughmentoringandguidingothers.,Empowerment,6/3/2014 8:20,MentorEmpower,Twitter, #Empowerment #Mentorship,15,30,UK,2014,6,3,8
142,Compassionshownthroughactsofkindnessinthecommunity.,Compassion,1/15/2019 14:50,KindnessInAction,Instagram, #Compassion #CommunityKindness,18,35,Australia,2019,1,15,14
143,Tendernessinaheartfeltmessagetoalovedone.,Tenderness,12/25/2016 19:30,LoveExpress,Facebook, #Tenderness #LoveNote,25,50,UK,2016,12,25,19
144,Arousalofexcitementbeforeamuch-awaitedtrip.,Arousal,3/10/2018 9:45,TravelExcitement,Twitter, #Arousal #TravelAdventure,20,40,India,2018,3,10,9
145,Enthusiasmforanewartisticprojectintheworks.,Enthusiasm,9/17/2020 16:30,ArtisticSpirit,Instagram, #Enthusiasm #ArtisticProject,15,30,USA,2020,9,17,16
146,Feelingasenseoffulfillmentafterhelpingothers.,Fulfillment,8/28/2011 18:45,HelperHeart,Facebook, #Fulfillment #HelpingOthers,22,45,Canada,2011,8,28,18
147,Reverenceforthehistoricalsignificanceofalandmark.,Reverence,11/1/2017 15:30,HistoryBuff,Twitter, #Reverence #HistoricalSite,18,35,Australia,2017,11,1,15
148,Elationafterachievingafitnessmilestone.,Elation,6/15/2019 10:00,FitnessAchiever2,Instagram, #Elation #FitnessMilestone,25,50,UK,2019,6,15,10
149,Theeuphoriaofasuccessfulproductlaunch.,Euphoria,4/3/2022 11:45,ProductLaunchJoy,Facebook, #Euphoria #ProductLaunchSuccess,15,30,USA,2022,4,3,11
150,Contentmentintheembraceofalovedone.,Contentment,11/12/2010 20:20,LovingEmbrace,Twitter, #Contentment #Love,30,60,India,2010,11,12,20
151,Serenityfoundinthebeautyofasunsetbythesea.,Serenity,7/22/2011 18:30,SunsetWatcher2,Instagram, #Serenity #SunsetViews,22,45,Canada,2011,7,22,18
152,Gratitudeforthesmalljoysthateachdaybrings.,Gratitude,3/30/2012 11:20,JoyfulHeart2,Facebook, #Gratitude #SmallJoys,15,30,Australia,2012,3,30,11
153,Hopefulaboutthepotentialforpersonalgrowth.,Hope,10/5/2013 16:40,GrowthOptimist,Twitter, #Hope #PersonalDevelopment,18,35,UK,2013,10,5,16
154,Empowermentthroughlearninganewskill.,Empowerment,7/10/2014 13:15,SkillEmpower,Instagram, #Empowerment #SkillBuilding,25,50,India,2014,7,10,13
155,Compassioninvolunteeringforalocalcharity.,Compassion,12/18/2015 14:20,CharityVolunteer,Facebook, #Compassion #VolunteerWork,18,35,USA,2015,12,18,14
156,Tendernessinaquietmomentsharedwithapet.,Tenderness,2/10/2016 19:45,PetLove,Twitter, #Tenderness #PetLove,25,50,Canada,2016,2,10,19
157,Arousalofexcitementforanupcomingfestival.,Arousal,9/25/2017 11:30,FestivalFan,Instagram, #Arousal #FestivalExcitement,20,40,UK,2017,9,25,11
158,EnthusiasmforaDIYhomeimprovementproject.,Enthusiasm,4/15/2018 16:00,DIYEnthusiast,Facebook, #Enthusiasm #HomeImprovement,15,30,Australia,2018,4,15,16
159,Fulfillmentincompletingachallengingpuzzle.,Fulfillment,11/28/2019 18:20,PuzzleMaster,Twitter, #Fulfillment #PuzzleChallenge,22,45,India,2019,11,28,18
160,Reverenceforthewondersofnatureonahikingtrail.,Reverence,5/11/2020 15:00,NatureAdmirer,Instagram, #Reverence #NatureExploration,18,35,USA,2020,5,11,15
161,Elationafterasurprisereunionwithachildhoodfriend.,Elation,2/5/2021 9:30,ChildhoodJoy,Facebook, #Elation #FriendshipReunion,25,50,Canada,2021,2,5,9
162,Sufferingfromdespairafteranothersetback.,Despair,3/10/2021 8:30,StrugglingSoul,Twitter, #Despair #Struggle,5,10,USA,2021,3,10,8
163,"Overwhelmedbygrief,missingalovedonedearly.",Grief,7/5/2022 15:45,MourningHeart,Instagram, #Grief #Loss,8,15,Canada,2022,7,5,15
164,Lonelinesscreepsinasthenightgrowscolder.,Loneliness,11/18/2019 21:20,SolitarySoul,Facebook, #Loneliness #Isolation,10,20,UK,2019,11,18,21
165,JealousyconsumesmeasIwitnessothers'success.,Jealousy,8/12/2020 11:30,EnviousObserver,Twitter, #Jealousy #Envy,12,25,India,2020,8,12,11
166,Resentmentbuildingupoverpastbetrayals.,Resentment,5/22/2018 14:45,BitterHeart,Instagram, #Resentment #Bitterness,7,15,Australia,2018,5,22,14
167,Frustrationmountsasobstaclesblockmypath.,Frustration,1/30/2017 16:10,BlockedGoals,Facebook, #Frustration #Obstacles,10,20,USA,2017,1,30,16
168,"Boredomsetsin,thedayfeelsendlesslydull.",Boredom,9/28/2016 19:45,BoredMind,Twitter, #Boredom #LackOfInterest,8,15,Canada,2016,9,28,19
169,"Anxietygripsmyheart,worrycloudsmythoughts.",Anxiety,4/15/2019 9:00,WorriedMind,Instagram, #Anxiety #Worry,12,25,UK,2019,4,15,9
170,Intimidationbytheunknownfutureahead.,Intimidation,12/3/2021 18:30,FearfulSoul,Facebook, #Intimidation #Fear,15,30,India,2021,12,3,18
171,Helplessnesssinksinaschallengespileup.,Helplessness,6/20/2020 14:20,OverwhelmedHeart,Twitter, #Helplessness #Overwhelmed,8,15,Australia,2020,6,20,14
